"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Close Construction Sites","Boundary cases","0","0","5","0","0"
"","Close Construction Sites","Negative Path","0","0","17","0","0"
"","Notifications","Happy path","0","0","4","0","0"
"","Developers","Happy path","0","0","6","0","0"
"","Notifications","Pagination","0","0","10","0","0"
"","Search","Happy path","0","0","8","0","0"
"","Developers","Pagination","0","0","10","0","0"
"","Close Construction Sites","Happy path","0","0","15","0","0"
"","Developers","Search","0","0","4","0","0"
"","Districts","Caching","0","0","2","0","0"
"","Districts","Happy path","0","0","3","0","0"
"","Notifications","Caching","0","0","2","0","0"
"","Search","Caching","0","0","2","0","0"
"","Search","Rate limiting","0","0","1","0","0"
"","Close Construction Sites","Rate limiting","0","0","1","0","0"
"","Search","Boundary","0","0","5","0","0"
"","Developers","Negative","0","0","2","0","0"
"","Developers","Caching","0","0","4","0","0"
"","Districts","Data integrity","0","0","3","0","0"
"","Districts","Rate limiting","0","0","1","0","0"
"","Developers","Rate limiting","0","0","1","0","0"
"","Close Construction Sites","Caching","0","0","2","0","0"
"","Notifications","Rate limiting","0","0","1","0","0"
