"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Sep 08 12:47:03 UTC 2026","Tue Sep 08 12:47:03 UTC 2026","26","","com.jk.qurilishnazorat.rest.DistrictSummaryTests.CachingTests","","com.jk.qurilishnazorat.rest.DistrictSummaryTests$CachingTests","getDistrictSummary_matchingETag_returns304","Matching If-None-Match returns 304","Re-sending with the ETag in If-None-Match must return 304 Not Modified."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","0","","Developer Endpoints — /developers & /developers/{id}","","com.jk.qurilishnazorat.rest.DeveloperTests","","Developer Endpoints — /developers & /developers/{id}",""
"failed","Tue Sep 08 12:47:05 UTC 2026","Tue Sep 08 12:47:05 UTC 2026","10","","com.jk.qurilishnazorat.rest.NotificationTests.PaginationTests","","com.jk.qurilishnazorat.rest.NotificationTests$PaginationTests","getNotifications_noSizeParam_returnsAtMost20Items","Default page size is at most 20 items","When ?size is omitted the server defaults to 20 — response must contain <= 20 items."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","14","","com.jk.qurilishnazorat.rest.NotificationTests.PaginationTests","","com.jk.qurilishnazorat.rest.NotificationTests$PaginationTests","getNotifications_malformedCursor_returns400","Malformed cursor returns 400","A cursor not issued by the server must return 400 Bad Request."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","11","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.HappyPathTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$HappyPathTests","shouldReturn200WithValidCoordinates","Valid coordinates return 200 with well-formed response body","Valid coordinates should return HTTP 200, items array, hasMore flag, total count, and the echoed radiusM."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","13","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.NegativeTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$NegativeTests","getCloseConstructions_InvalidCoordinates_returns400","Out-of-range coordinates return 400 lat=41.29, lng=-999 → 400","lat must be -90..90 and lng must be -180..180. Values outside these ranges must return 400."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","13","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.NegativeTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$NegativeTests","getCloseConstructions_MissingLat_returns400","Missing lat returns 400","lat is required. Omitting it should return 400 Bad Request."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","16","","com.jk.qurilishnazorat.rest.SearchTests.BoundaryTests","","com.jk.qurilishnazorat.rest.SearchTests$BoundaryTests","emptyQuery_returns200WithEmptyItems","Empty query string returns 200 with empty items array","An empty 'q' is shorter than the 2-char minimum — server must return 200 with items=[]."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","14","","com.jk.qurilishnazorat.rest.SearchTests.HappyPathTests","","com.jk.qurilishnazorat.rest.SearchTests$HappyPathTests","cyrillicAndCaseVariants_return200","Cyrillic and mixed-case queries are handled correctly query='Yunusobod' → 200 with items array",""
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","12","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.HappyPathTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$HappyPathTests","getCloseConstructions_ValidLegalStatuses_returns200","Valid legalStatus filter returns 200 and all items match legalStatus=LEGALIZED → 200, items match","When a valid legalStatus is provided, all returned items must match that status."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","11","","com.jk.qurilishnazorat.rest.SearchTests.CachingTests","","com.jk.qurilishnazorat.rest.SearchTests$CachingTests","matchingETag_returns304","Matching If-None-Match returns 304 with no body","Send the ETag back in If-None-Match — server must respond 304 Not Modified."
"failed","Tue Sep 08 12:47:03 UTC 2026","Tue Sep 08 12:47:03 UTC 2026","17","","com.jk.qurilishnazorat.rest.DistrictSummaryTests.HappyPathTests","","com.jk.qurilishnazorat.rest.DistrictSummaryTests$HappyPathTests","getDistrictSummary_itemsHaveRequiredFields","Each district item has all required fields","Every item must contain: id, name, totalCount, muammosizCount, qismanMuammoliCount, muammoliCount, noqonuniyCount."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","13","","com.jk.qurilishnazorat.rest.SearchTests.HappyPathTests","","com.jk.qurilishnazorat.rest.SearchTests$HappyPathTests","validQuery_returns200WithItemsArray","Valid query (>= 2 chars) returns 200 with items array","A query of 2+ characters should return HTTP 200 and a non-null 'items' array (may be empty)."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","11","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.NegativeTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$NegativeTests","getCloseConstructions_InvalidIssueLevel_returns400","Invalid issueLevel returns 400","An unrecognised enum value for issueLevel should return 400 Bad Request."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","15","","com.jk.qurilishnazorat.rest.SearchTests.HappyPathTests","","com.jk.qurilishnazorat.rest.SearchTests$HappyPathTests","cyrillicAndCaseVariants_return200","Cyrillic and mixed-case queries are handled correctly query='toshkent' → 200 with items array",""
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","13","","com.jk.qurilishnazorat.rest.NotificationTests.PaginationTests","","com.jk.qurilishnazorat.rest.NotificationTests$PaginationTests","getNotifications_invalidSize_returns400","Invalid size values return 400 size=0 → 400 Bad Request","size must be 1–50. Values outside this range must return 400 Bad Request."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","15","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.HappyPathTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$HappyPathTests","getCloseConstructions_ValidLegalStatuses_returns200","Valid legalStatus filter returns 200 and all items match legalStatus=LEGAL → 200, items match","When a valid legalStatus is provided, all returned items must match that status."
